Artist,id
Ada Ehi,27aJyju2K5sLLiCgZKemnt
Ayo Vincent,6J1xJIMHarm1DrTscCsVhw
Bidemi Olaoba,6zgGhksQtJmJzAOalAeUSV
Bola Are,3FbRPnDbbrqgwIVwlbZ3lQ
Chigozie Wisdom,1FVTCLEgnDnnE4kdK7l43z
Chinyere Udoma,4IWeky4mkNYQ8mdYq8rqp6
Chioma Jesus,7GNY8eqnvkcMvJp1jrETa4
Cobhams Asuquo,710wXZlOutU4kV7BeLoVwl
Cornelius Adam Igbudu,4FMYCktILN7lQgp2VxviR2
Dunni Olanrewaju,2HfgrLcF4BINaQ3kRAI97B
Ebuka Songs,1voWj2pMS3ApzUroyIcHXM
Eben,5vJ3Jo3CZKmiYSUDdm6lpm
el Mafrex,2NhOcyTgZuwpRnVZNFrp5h
Emmanuel Iren,1Ge81wiDXhRxTHVE1pdHyw
Folabi Nuel,0zBTbtoYVNCJmbN3MWHcRe
Frank Edwards,5gOBGZay8Nt5orlQI8UDDg
Funmi Aragbaye,7cFrOOe8oT4ENimUp6jMXk
Gaise Baba,5pFY8yo0PDefGs7laYnNwo
Greatman Takit,47oK1JYR8A9TABs010suzH
Jahdiel,5wfpmvjKzqfby8Xq0sGjfS
Jeremiah Gyang ,61GPOTHlObg2MjfNlxezSC
Joe Praise,36zaJBikfrPslhG3cYnv8s
Joseph Abebayo Adelakun,0Xw27OVD6aKTP8cBGYadsd
Joshua Mike- Bamiloye,3tG7XvyHxetfcQ3dNhnYAj
Judekay,5Ja8vZu9RqunrDS0uIFL5x
Kefee,17YuFgnihcQ9UnyGiWFH5z
Kunle Ajayi,6Ou7JXBGtvYaZ2K1vmEUmd
Lara George,6BMYlvYYyC0VxN6vV9y9KZ
Limoblaze,0liXA3xwx6pncxYQA30ahT
Mairo Ese,78QoE7x1Wt8whxsUItnwm9
Mega 99,6ZcrwjFhtSQvQqG4CRevfR
Mercy Chinwo,68ra9ISZg5HZYwKaPtKvMp
Mike Abdul,2xsK8uSdgTzy65SicS3LzK
Minister GUC,5F9NFQsix9CwLRFKUbyCEL
Moses Bliss,79MTG7HPurBgQ0ilwJ4AgM
Mr M and Revelation,7Cj72Nr0p08Jibt7ADcEDa
Nathaniel Bassey,1ukmGETCwXTbgrTrkRDnmn
Neon Adejo,1Ywypkj7wYHenVdKnsp3Nn
Nikki Laoye,7lVBawhz0dr9UnFokEvtrP
Nosa,2L0sgYLzuz1GstJlck2kU4
Obiwon,4dcClaDsQLTenTq7YDCV0P
Onos Ariyo,1xzshfPnhdGrVKze5zCcl0
Onyeka Onwenu,0AsoglRr6rQ8DZEKWnBPz7
Osinachi Nwachukwu,7DmYJaJIKvbtMy7WsUNb1F
Ossy Brown,0EhmR1bezRzSclqzyebS2D
Patty Obasi,1j2cXfog7uCmMwVLqamgkC
Samsong,2vPVXxqaSgF7s5U5PrXNUS
Sammie Okposo,4qygDDItX42LbfJLQUedIJ
Sinach,6hKHFC67DZJNw9tg1l0lIe
Snatcha,39fYK5CHqdEbJj3oTJrAPl
Sola Allyson,3NRO4pLQaU0eXYX5SwYtAY
Sunmisola Agbebi,7fJd7w897ouOZzDc6e3oyU
Tim Godfrey,509E47UmbRPKWPXOMaieh2
Tomi Favored,3ioczYyxauJe6sFCd300bZ
Tope Alabi,1WDoaSGtFrO4ZPMZqLiaEU
TY Bello,2iWK4awJAvQtgg1cUHaU9J
Victor Thompson,5c0lDrNyT2RnFhujZpPIas
Victoria Orenze,4NS4onS3tvVfCJk2sJ7vso
Dunsin Onyeka,49BZ6sJNhvubVBsomYuLFM